NAZCOBCE;PSC
Abertamy;36235
Adamov;54232
Adamov;67904
Adamov;28601
Adamov;37371
Adolfovice;79001
Alberovice;25765
Albeø;37833
Albrechtice;34201
Albrechtice;38901
Albrechtice;28401
Albrechtice;46345
Albrechtice;59257
Albrechtice;56301
Albrechtice;73543
Albrechtice nad Orlicí;51722
Albrechtice nad Vltavou (èást);39811
Albrechtice nad Vltavou (èást);39816
Albrechtice u Frıdlantu;46331
Albrechtice u Rımaøova;79351
Albrechtice v Jizerskıch horách;46843
Albrechtièky;74255
Albrechtovice;38301
Aleje-Zátiší;35002
Alenina Lhota;39133
Alexovice;66491
Alojzov;79804
Alšovice;46821
Albìtín;34004
Amalín;79397
Amerika;25901
Andìl Stráce;46342
Andìlice;33901
Andìlka;46373
Andìlská Hora;46331
Andìlská Hora;36471
Andìlská Hora;79331
Anenská Studánka;56301
Anenská Ves;35709
Annín;34201
Annín-Tovaèov II x);75101
Annovice;37821
Antonínov;46844
Antonínova Vıšina;35002
Antonínùv Dùl;58601
Antonka;39470
Antošovice;71100
Archlebov;69633
Arneštovice;39501
Arnoldov;36251
Arnolec;58827
Arnoltice;79351
Arnoltice;46401
Arnoltice (èást);40502
Arnoltice (èást);40714
Arnoltov;35601
Arnoštka;38501
Arnoštov;50782
Arnoštov;38301
Arnoštovice;25789
Arnultovice;47301
Arnultovice;54372
Arnultovice;79383
Arnultovice;40002
Artolec;37833
Aš;35201
Baba;25601
Babèice;39155
Babèice;25601
Babí;54701
Babí;54101
Babice;75643
Babice;34012
Babice;67544
Babice;39501
Babice;38411
Babice;78501
Babice;35301
Babice;25101
Babice;25753
Babice;58001
Babice;34525
Babice;68703
Babice nad Svitavou;66401
Babice u Rosic;66484
Babice (èást);25167
Babice (èást);25168
Babice (èást);50315
Babice (èást);50351
Babín;34101
Babín;39470
Babina;33101
Babiny I;40327
Babiny II;40002
Babolky;67961
Babylon;34401
Bacov;50601
Bácovice;39301
Baèalky;50723
Baèetín;51801
Baèice;67555
Baèkov;58291
Baèkovice;67532
Baèov;68001
Bahno;28401
Bakov;27371
Bakov;54701
Bakov nad Jizerou;29401
Baldovec;79861
Baliny;59401
Balková;33165
Balkova Lhota;39131
Balkovy;33901
Banín;56802
Bánov;68754
Báòov;25789
Báòovice;38001
Bantice;67161
Barèov;25786
Barchov;53002
Barchov;50401
Barchovice;28163
Barchùvek;50401
Barochov;25167
Barovice;58301
Bartoòov;78963
Bartošovice;74254
Bartošovice v Orlickıch horách (èást);51764
Bartošovice v Orlickıch horách (èást);51761
Bartošovice v Orlickıch horách (èást);51763
Bartoušov;50601
Bartoušov;58001
Bartovice (èást);71600
Bartovice (èást);71700
Bartovice (èást);73934
Bartultovice;79399
Baøice;76701
Baška;73901
Bašnice;50801
Baš;25065
Bašta;28123
Batelov;58851
Batín;50722
Batòovice (èást);54232
Batòovice (èást);54237
Batòovice (èást);54234
